entry_time,entry_price,stop_loss,take_profit,exit_time,exit_price,r_multiple,pnl,return_pct,direction,exit_reason
2026-02-04 11:30:00-05:00,25182.13,25252.45,25041.49,2026-02-04 11:35:00-05:00,25252.45,-1.0,-70.31999999999971,-0.0027924563966590476,short,SL
2026-02-05 10:45:00-05:00,24697.25,24715.45,24660.85,2026-02-05 10:50:00-05:00,24715.45,-1.0,-18.200000000000728,-0.000736924151474384,short,SL
2026-02-05 11:55:00-05:00,24670.22,24744.13,24522.4,2026-02-05 12:10:00-05:00,24522.4,2.0,147.8199999999997,0.005991839553923706,short,TP
2026-02-09 12:30:00-05:00,25158.53,25126.83,25221.929999999993,2026-02-09 12:55:00-05:00,25221.929999999993,2.0,63.39999999999418,0.0025200200488658987,long,TP
2026-02-16 12:20:00-05:00,24661.13,24684.93,24613.530000000002,2026-02-16 12:45:00-05:00,24613.530000000002,2.0,47.599999999998545,0.001930162973067274,short,TP
2026-02-16 13:20:00-05:00,24633.88,24663.43,24574.780000000002,2026-02-16 13:30:00-05:00,24663.43,-1.0,-29.549999999999272,-0.0011995674250259915,short,SL
2026-02-17 09:20:00-05:00,24557.35,24574.65,24522.749999999993,2026-02-17 09:45:00-05:00,24522.749999999993,2.0,34.60000000000582,0.0014089468122580743,short,TP
2026-02-19 10:00:00-05:00,24792.05,24805.85,24764.45,2026-02-19 10:15:00-05:00,24764.45,2.0,27.599999999998545,0.0011132600974908709,short,TP
2026-02-19 11:05:00-05:00,24764.55,24772.35,24748.95,2026-02-19 11:10:00-05:00,24772.35,-1.0,-7.799999999999272,-0.00031496635311359475,short,SL
2026-02-20 10:30:00-05:00,24715.55,24769.25,24608.149999999998,2026-02-20 11:35:00-05:00,24769.25,-1.0,-53.70000000000073,-0.002172721222064681,short,SL
2026-02-24 13:00:00-05:00,24966.33,24942.23,25014.530000000006,2026-02-24 13:20:00-05:00,24942.23,-1.0,-24.100000000002183,-0.00096530006612915,long,SL
2026-02-25 10:45:00-05:00,25090.75,25086.75,25098.75,2026-02-25 10:50:00-05:00,25086.75,-1.0,-4.0,-0.00015942130067853692,long,SL
2026-02-25 11:25:00-05:00,25110.45,25101.75,25127.850000000002,2026-02-25 11:30:00-05:00,25127.850000000002,2.0,17.400000000001455,0.0006929385972772871,long,TP
2026-02-27 09:35:00-05:00,24912.75,24929.25,24879.75,2026-02-27 09:45:00-05:00,24879.75,2.0,33.0,0.001324622934039799,short,TP
2026-03-03 10:30:00-05:00,24466.55,24499.55,24400.55,2026-03-03 11:20:00-05:00,24499.55,-1.0,-33.0,-0.0013487802734754185,short,SL
2026-03-04 11:30:00-05:00,24929.13,24845.05,25097.290000000005,2026-03-04 11:35:00-05:00,24845.05,-1.0,-84.08000000000175,-0.0033727611031753512,long,SL
2026-03-04 12:55:00-05:00,25091.93,25060.03,25155.730000000003,2026-03-04 13:10:00-05:00,25060.03,-1.0,-31.900000000001455,-0.0012713250834033673,long,SL
2026-03-10 09:55:00-04:00,25039.05,25036.45,25044.249999999996,2026-03-10 10:00:00-04:00,25036.45,-1.0,-2.599999999998545,-0.00010383780534798824,long,SL
2026-03-12 13:20:00-04:00,24649.83,24671.13,24607.230000000003,2026-03-12 13:25:00-04:00,24671.13,-1.0,-21.299999999999272,-0.0008641033224163928,short,SL
2026-03-16 12:30:00-04:00,24676.83,24648.65,24733.190000000002,2026-03-16 13:05:00-04:00,24733.190000000002,2.0,56.36000000000058,0.0022839238265206906,long,TP
2026-03-17 10:20:00-04:00,24622.45,24601.65,24664.05,2026-03-17 10:50:00-04:00,24601.65,-1.0,-20.799999999999272,-0.0008447575281907069,long,SL
2026-03-17 13:20:00-04:00,24830.03,24822.53,24845.03,2026-03-17 13:25:00-04:00,24822.53,-1.0,-7.5,-0.000302053602029478,long,SL
2026-03-18 13:10:00-04:00,24665.63,24682.95,24630.99,2026-03-18 13:15:00-04:00,24682.95,-1.0,-17.31999999999971,-0.0007021916731905776,short,SL
2026-03-19 09:35:00-04:00,24367.65,24381.15,24340.65,2026-03-19 10:00:00-04:00,24381.15,-1.0,-13.5,-0.0005540132101372106,short,SL
2026-03-19 11:00:00-04:00,24263.85,24304.35,24182.85,2026-03-19 11:05:00-04:00,24304.35,-1.0,-40.5,-0.001669149784556037,short,SL
2026-03-19 12:30:00-04:00,24133.43,24203.85,23992.590000000004,2026-03-19 12:40:00-04:00,24203.85,-1.0,-70.41999999999825,-0.002917944113207209,short,SL
